numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
7263871448497310,5042024,Trabalho em Evento,"Análise de viabilidade econômica da pesca de camarão, Sergipe - Brasil",2009.0,Brasil,XVI Congresso Brasileiro de Engenharia de Pesca - XVI CONBEP,Natal,,,,"Bruna Larissa Ferreira de Carvalho (CARVALHO, B.L.F.), Ana Rosa da Rocha Araújo (ARAUJO, A. R. R.)"
7263871448497310,5042024,Trabalho em Evento,Avaliação sócio-econômica de comunidades pesqueiras no estado de Sergipe - Brasil,2011.0,Brasil,"XI Jornada de Ensino, Pesquisa e Extensão da UFRPE - JEPEX 2011",Recife,,,,"Bruna Larissa Ferreira de Carvalho (CARVALHO, B.L.F.), Régis Vinícius Souza Santos (SANTOS, R. V. S.), Ana Rosa da Rocha Araújo (ARAUJO, A. R. R.)"
7263871448497310,5042024,Trabalho em Evento,Recursos alimentares compartilhados por duas espécies de siluriformes em reservatórios no nordeste brasileiro,2011.0,Brasil,"XI Jornada de Ensino, Pesquisa e Extensão da UFRPE - JEPEX 2011",Recife,,,,"Fabiana Alves da Silva (SILVA, F. A.), Gérsica Moraes Nogueira da Silva (SILVA, G. M. N.), Bruna Larissa Ferreira de Carvalho (CARVALHO, B.L.F.), Aline Alves Rocha (ROCHA, A. A.), Tatiane do Nascimento Medeiros (MEDEIROS, T. N.), Régis Vinícius Souza Santos (SANTOS, R. V. S.), William Severi (SEVERI, W.)"
7263871448497310,5042024,Trabalho em Evento,Avaliação da qualidade da água em cultivo intensivo do camarão marinho Litopenaeus vannamei submetidos a rações com diferentes níveis protéicos,2012.0,Brasil,"XII Jornada de Ensino, Pesquisa e Extensão da UFRPE - JEPEX 2012",Recife - PE,,,,"Rodolfo de Paula (PAULA, R.), Bruna Larissa Ferreira de Carvalho (CARVALHO, B.L.F.), Marcony Vasconcelos Filho (VASCONCELOS FILHO, M.), BRUNO LÚCIO DE OLIVEIRA (OLIVEIRA, B. L.), JOÃO PAULO VIANA LIMA (LIMA, J. P. V.), MARIA GABRIELA FERREIRA (FERREIRA, M. G.), EUDES DE SOUZA CORREIA (CORREIA, E. S.)"
7263871448497310,5042024,Trabalho em Evento,Influência do nitrito no crescimento do camarão marinho Litopenaeus vannamei em sistema de bioflocos,2012.0,Brasil,V Congresso da Sociedade Brasileira de Aquicultura e Biologia Aquática - AQUACIÊNCIA 2012,Palmas - TO,,,,"Bruna Larissa Ferreira de Carvalho (CARVALHO, B.L.F.), BRUNO LÚCIO DE OLIVEIRA (OLIVEIRA, B. L.), EDUARDO CESAR RODRIGUES DE LIMA (LIMA, E. C. R.), FABIANA PENALVA DE MELO (MELO, F. P.), RIVALDO SIQUEIRA GOMES JUNIOR (GOMES JUNIOR, R. S.), EUDES DE SOUZA CORREIA (CORREIA, E. S.)"
7263871448497310,5042024,Trabalho em Evento,"Utilização de covo para peixes no município de Conde, Bahia",2015.0,Brasil,XIX Congresso Brasileiro de Engenharia de Pesca,São Luís,,,,"Bruna Larissa Ferreira de Carvalho (CARVALHO, B.L.F.), Jadson Pinheiro Santos (SANTOS, J. P.), José Milton Barbosa (BARBOSA, J. M.), Ana Rosa da Rocha Araújo (ARAUJO, A. R. R.)"
7263871448497310,5042024,Trabalho em Evento,"Produção do caranguejo-uça no litoral do estado de Sergipe, Brasil",2013.0,Brasil,II Semana de Engenharia de Pesca - UFS,São Cristóvão,,,,"Jadson Pinheiro Santos (SANTOS, J. P.), Mário José Fonseca Thomé de Souza (SOUZA, M. J. F. T.), Bruna Larissa Ferreira de Carvalho (CARVALHO, B.L.F.), Claudemir Oliveira da Silva (SILVA, C. O.), Edson Borttoleto Garciov Filho (GARCIOV FILHO, E. B.), Matheus Silveira Deda (DEDA, M. S.)"
7263871448497310,5042024,Trabalho em Evento,"Identificação dos recursos pesqueiros na costa de Sergipe e extremo norte da Bahia, Brasil",2013.0,Brasil,II Semana de Engenharia de Pesca - UFS,São Cristóvão,,,,"Matheus Silveira Deda (DEDA, M. S.), Mário José Fonseca Thomé de Souza (SOUZA, M. J. F. T.), Joubert Denner Santos de OLIVEIRA (OLIVEIRA, J. D. S.), Edson Borttoleto Garciov Filho (GARCIOV FILHO, E. B.), Bruna Larissa Ferreira de Carvalho (CARVALHO, B.L.F.), Jadson Pinheiro Santos (SANTOS, J. P.), Claudemir Oliveira da Silva (SILVA, C. O.)"
7263871448497310,5042024,Trabalho em Evento,Identificação das assinaturas comportamentais da atividade pesqueira com auxílio de gps na região costeira do estado de Sergipe e extremo norte da Bahia,2013.0,Brasil,II Semana de Engenharia de Pesca - UFS,São Cristóvão,,,,"Edson Borttoleto Garciov Filho (GARCIOV FILHO, E. B.), Mário José Fonseca Thomé de Souza (SOUZA, M. J. F. T.), Waléria Melo de Mendonça (MENDONCA, W. M.), Inajara Marques Bezerra Oliveira (OLIVEIRA, I. M. B.), Bruna Larissa Ferreira de Carvalho (CARVALHO, B.L.F.), Matheus Silveira Deda (DEDA, M. S.), Jadson Pinheiro Santos (SANTOS, J. P.)"
7263871448497310,5042024,Trabalho em Evento,Variação da amônia e nitrito no cultivo heterotrófico do camarão Litopenaeus vannamei alimentado com diferentes níveis proteicos,2012.0,Brasil,AquaCiência,Palmas - TO,,,,"Marcony Vasconcelos Filho (VASCONCELOS FILHO, M.), Bruna Larissa Ferreira de Carvalho (CARVALHO, B.L.F.), RAFAEL LIANO SOUZA (SOUZA, R. L.), Rodolfo de Paula (PAULA, R.), REGINALDO SILVA NETO (SILVA NETO, R.), JOÃO PAULO VIANA LIMA (LIMA, J. P. V.)"
